"Student number",Total
s1562444,11.95
s1570803,1.6
S1594249,5.25
S1639684,22.85
s1651412,28
s1653598,6.2
s1661493,64.7
s1663135,30.5
s1663666,12
S1664050,11.3
s1680463,50.95
s1683985,20.7
S1686216,29.05
S1687425,9.65
s1688022,28.15
s1690477,9.2
s1774662,12.95
s1776940,23.3
s1778358,32.75
s1782509,11.85
s1783866,22.8
s1788345,0.9
s1791249,4.65
S1799797,40.55
s1809660,26.05
s1810219,4.85
s1811185,73.85
s1823248,13.3
S1825488,18.7
s1830279,20.55
S1833413,20.45
s1844180,43.8
s1847805,17.7
s1851802,22.2
s1862723,14.3
S1866605,46.75
S1870386,26.7
s1877054,16.4
s1900293,18.7
s1903748,8.2
s1912054,9.35
s1921622,32.45
s1922831,36.75
s1931725,10.05
s1935364,9.15
s1952463,26
s1958933,12.5
s1985388,24.55
S1986678,14.3
s1995367,16.7
s2004933,13.5
s2014300,12.35
s2018195,50.75
s1915789,22.5
s1903969,42.79
s1814796,15.25
s1800825,0.95
s1688626,3
s1993178,25
s1931326,19.6
s1773615,15.75
s1912151,6.95
s1918397,1.8
s1538705,26.65
s1828576,24
s1963317,44.4
s1949578,45.75
s1817353,16.9
s1917889,18.9
s1921908,10.35
s1676962,9.6
s1718762,10
s1857355,10.9
s1971778,1.05
s1847104,9.7
s2025086,20.7
s2014726,1.9
s1744720,1.2
s1834290,19.2
s1721542,2.1
s2005573,17.8
s2006316,6.75
s1988808,4.6
s1527061,6.25
s1569562,13.05
s1986813,13.45
s1573837,0.75
s1557459,0.65
s1668560,14.35
s1538926,18.5
s1587633,1.95
s1482300,1
s1368176,0.5
s1425994,2
s1657445,46.5
s1840215,11.8
s1924028,5.45
s1692062,13.6
s2008823,2.35
s1646508,7
s1986260,4.45
s1944738,3.2
s1927213,2.85
s1663887,3.15
s1835858,4.1
s1789120,3.8
s1472372,0.6
s1856138,11.65
s1833308,0.65
s1578219,1.55
s1730258,9.15
s2019973,1.6
s1735454,0.4
s1999540,10.25
s1935887,3.55
s1727834,1.5
s1710303,4.15
s1912623,0.5
m7686814,0.55
s1901621,1.65
s1718703,0.9
s1707981,3.7
s2022818,0.6
s1831828,1.55
m7648843,1.5
s1662368,1.4
s1683829,1.55
s1624822,1.15
