"Student number",Total
1661493,22.95
1234567,0.8
1963317,52
1988808,8.2
1999540,37.05
1927213,0.2
1931326,28
1917889,19.9
1912054,64.6
1915789,49.05
2025086,15.85
1931725,19.2
2022818,40
1922629,2.95
1844180,82.5
2166224,22.25
2004933,9.05
1538926,27
1900293,5.15
1663887,11.75
2075040,46.65
1949578,49.55
1903748,9.95
1995367,26.45
1952463,70.65
2014726,24.05
1986813,15.35
1811185,89.7
1921908,9.9
1903969,42.2
2014300,37.5
1877054,16.95
2125528,48.5
1707981,0.05
1782509,44.45
1985388,18.75
1993178,47.5
1827448,7.4
1986260,19.3
1921622,38.75
1847805,18.15
1924028,15.45
2075865,15.2
2193698,37.95
1651412,10.1
2128373,21.1
1929216,8.05
1783866,16.15
1809660,28.3
2019973,10.65
2120720,24.75
2102315,22.9
2074702,7.5
2184680,26.2
2090341,8.45
1828576,51.85
2082837,22.3
1958933,59.85
2070545,21.95
1791249,7.75
2102625,8.3
1918397,7.5
2096501,17.3
2087138,15.5
2094770,9.9
2205688,5.15
2199319,6.5
1774662,1.35
1994689,5.45
2177005,11.3
2194171,5.3
2164914,15.1
1687425,2.15
2213060,11.45
1819674,3.15
2169061,7.2
2123665,14.35
1664050,33.8
1663135,9.85
2173751,10.3
1730258,7.3
2093804,18.25
2133997,17.05
2185954,15.65
1692062,4.15
2143097,1.55
pendays,11.5
1912151,7.1
1653598,6.8
2111853,18.3
2181002,5.3
xternal,12.6
1935364,7.55
1686216,2
7641741,0.5
1570803,2.2
1569562,2.5
1425994,3.5
1916122,3.4
2175797,7.8
2125854,2.5
1993070,0.85
1912623,4.05
2006316,1.05
1901621,4.45
1735454,1.2
2139448,1.6
2094959,2.3
1527061,0.65
7648843,3.05
2187337,7.75
7662016,2.4
2008823,0.6
1368176,2.25
1574906,0.4
1422626,1
1663666,0.6
1639684,0.5
1646508,3.2
1420178,1.2
2061015,0.6
1690477,1.25
1810219,0.4
2130971,1.55
