"Student number",Total
s1866605,32.3
s1840215,11.75
s1782509,20.05
s1835858,4.45
s1844180,42.8
s1857355,26.7
s1831828,8.3
s1776940,41.55
s1778358,51.35
s1944738,16.05
s1952463,19.9
s1915789,26.3
s2014726,11.55
s1935364,4.9
s1814796,34.8
s1791249,16.75
s1827448,41.35
s1527061,15.2
s1870386,56.84
s1811185,70.8
s1730258,25.8
s1862723,10.85
s1817353,33.25
s1809660,58.45
s1773615,18.05
s1903969,28.65
s1774662,13.8
s1799797,26.75
s1657445,62.9
s1570803,10.5
s1877054,16.3
s2014300,15.4
s2018195,28.5
s1999540,16.3
s1912054,12.15
s1921908,14.4
s2008823,8.5
s1569562,8.65
s2004933,14.65
s1830279,42.8
s1744720,0.55
s1924028,23.4
s1847805,9.35
s1560557,3.75
s1833308,1.2
s1828576,24.75
s1787462,5.6
s1538705,15.9
s1789120,4.9
s1995367,8.29
s1931725,11.35
s1833413,27.8
s1676962,17.35
s1851802,19
s1687425,19.95
s2005573,14
s1856138,13.6
s1927213,7.65
s1985388,23.2
s1903748,11.6
s1912151,6.15
s1562444,10.3
s1949268,13.9
s1819674,6.8
s1707981,4.3
s1931326,13.3
s1963317,17.25
s1993178,13.05
s1986678,5
s1680463,15.85
s1783866,27.05
s1653598,4.25
s1823248,20.15
s1663887,13.6
s1578219,5
s1532677,2.75
s1538926,14.15
s1949578,41.75
s1573837,15.25
s2025086,10.65
s1834290,23.3
s1809717,2.9
s1912623,1.95
s1847104,9.9
s1862510,0.6
s1921622,9.1
s1935887,14.75
s1922831,11.5
s1958933,0.35
s2033410,18.4
s1986813,5.4
s1728509,0.8
s1825488,16.5
s1810219,0.6
s1971778,3.85
m7662016,7.2
s1537229,1.8
s1624822,0.4
s1918397,0.4
s1800825,1.15
s2006316,1.75
s1420178,0.4
s1721542,1
s1988808,0.95
m7663543,5
s1788345,1.2
s1917889,6.45
s2019973,2.3
s2022818,0.55
s1651412,1.9
s1688022,0.95
s1822411,0.25
s1683985,1.7
s1900293,0.55
s1686216,1.55
s1718703,1.8
s1710303,0.25
s1727834,0.55
